#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__LJ_LJ	
 1000 5.66026e-24
 2000 2.22883e-23
 3000 4.97669e-23
 4000 8.7886e-23
 5000 1.36719e-22
 6000 1.96209e-22
 7000 2.66333e-22
 8000 3.47173e-22
 9000 4.382e-22
 10000 5.39764e-22
 11000 6.50988e-22
 12000 7.72521e-22
 13000 9.04554e-22
 14000 1.04648e-21
 15000 1.19959e-21
 16000 1.36306e-21
 17000 1.53637e-21
 18000 1.72066e-21
 19000 1.91484e-21
 20000 2.11932e-21
 20000 2.10683e-21
 40000 8.11512e-21
 60000 1.67027e-20
 80000 2.70587e-20
 100000 3.84952e-20
