#NOTE: MSDs should be divided by the temperature.
#NOTE: MSDs have been divided by 2 or 10 (i.e., the viscosity computed from all components).
#Time	MSD_xx	MSD_yy	MSD_zz	MSD_xy	MSD_xz	MSD_yz	MSD_off	MSD_all	MSD_bulkvisc
 10 3.94682e+08 4.09533e+08 4.14364e+08 3.84818e+08 3.8093e+08 4.013e+08 3.89016e+08 3.95887e+08 3.59261e+08
 20 1.53352e+09 1.59408e+09 1.61309e+09 1.49508e+09 1.482e+09 1.56173e+09 1.51294e+09 1.53985e+09 1.42119e+09
 30 3.30681e+09 3.44675e+09 3.48785e+09 3.22235e+09 3.20136e+09 3.37473e+09 3.26615e+09 3.32521e+09 3.01465e+09
 40 5.58773e+09 5.8434e+09 5.91269e+09 5.43927e+09 5.42005e+09 5.71492e+09 5.52475e+09 5.62736e+09 5.06623e+09
 50 8.26506e+09 8.67376e+09 8.77613e+09 8.03147e+09 8.03132e+09 8.46909e+09 8.17729e+09 8.33503e+09 7.50537e+09
 60 1.1252e+10 1.18505e+10 1.19904e+10 1.09082e+10 1.09494e+10 1.15461e+10 1.11346e+10 1.13598e+10 1.02967e+10
 70 1.44821e+10 1.53067e+10 1.5488e+10 1.40012e+10 1.41078e+10 1.48758e+10 1.43283e+10 1.46339e+10 1.34233e+10
 80 1.79032e+10 1.89902e+10 1.9216e+10 1.72596e+10 1.74552e+10 1.84046e+10 1.77065e+10 1.81051e+10 1.68716e+10
 90 2.14736e+10 2.28586e+10 2.313e+10 2.06455e+10 2.09516e+10 2.20916e+10 2.12296e+10 2.17327e+10 2.06251e+10
 100 2.51591e+10 2.68759e+10 2.71913e+10 2.41302e+10 2.45665e+10 2.59054e+10 2.48674e+10 2.54839e+10 2.46631e+10
 110 2.89335e+10 3.1011e+10 3.13665e+10 2.76916e+10 2.82764e+10 2.98211e+10 2.85964e+10 2.93326e+10 2.89615e+10
 120 3.27778e+10 3.52374e+10 3.56284e+10 3.13117e+10 3.20627e+10 3.38188e+10 3.23977e+10 3.32578e+10 3.34928e+10
 130 3.66794e+10 3.95336e+10 3.99571e+10 3.49764e+10 3.59098e+10 3.78833e+10 3.62565e+10 3.72432e+10 3.8226e+10
 140 4.06298e+10 4.38836e+10 4.43396e+10 3.86738e+10 3.98046e+10 4.20042e+10 4.01608e+10 4.12769e+10 4.31271e+10
 150 4.46234e+10 4.82764e+10 4.87673e+10 4.2394e+10 4.37366e+10 4.61753e+10 4.4102e+10 4.53501e+10 4.81605e+10
 160 4.86565e+10 5.27054e+10 5.32344e+10 4.61286e+10 4.76982e+10 5.03936e+10 4.80735e+10 4.94569e+10 5.32903e+10
 170 5.2727e+10 5.71667e+10 5.77366e+10 4.98712e+10 5.16851e+10 5.46568e+10 5.2071e+10 5.35933e+10 5.84812e+10
 180 5.68334e+10 6.16573e+10 6.2271e+10 5.3618e+10 5.56951e+10 5.89627e+10 5.60919e+10 5.77567e+10 6.36997e+10
 190 6.0975e+10 6.61745e+10 6.68358e+10 5.73663e+10 5.97265e+10 6.33093e+10 6.0134e+10 6.19451e+10 6.89159e+10
 200 6.51506e+10 7.07141e+10 7.14297e+10 6.11146e+10 6.37758e+10 6.76949e+10 6.41951e+10 6.61563e+10 7.4104e+10
 200 6.41732e+10 7.05101e+10 7.02296e+10 6.11939e+10 6.26735e+10 6.84154e+10 6.40943e+10 6.57783e+10 7.45276e+10
 400 1.48213e+11 1.56631e+11 1.64786e+11 1.3358e+11 1.41979e+11 1.62201e+11 1.4592e+11 1.50169e+11 1.53402e+11
 600 2.37097e+11 2.39947e+11 2.62783e+11 2.07932e+11 2.29106e+11 2.65062e+11 2.34033e+11 2.39064e+11 2.17489e+11
 800 3.32796e+11 3.26509e+11 3.60979e+11 2.8354e+11 3.27996e+11 3.72792e+11 3.28109e+11 3.32903e+11 3.12365e+11
 1000 4.29617e+11 4.0642e+11 4.52989e+11 3.60304e+11 4.33673e+11 4.85876e+11 4.26618e+11 4.27841e+11 3.85455e+11
 1200 5.16725e+11 4.7938e+11 5.41829e+11 4.36397e+11 5.42095e+11 6.0485e+11 5.27781e+11 5.21726e+11 4.68253e+11
 1400 6.0176e+11 5.56358e+11 6.22593e+11 5.18281e+11 6.42134e+11 7.32628e+11 6.31014e+11 6.16037e+11 5.63276e+11
 1600 6.94946e+11 6.39941e+11 7.04414e+11 6.00679e+11 7.40708e+11 8.6057e+11 7.33986e+11 7.12298e+11 6.53969e+11
 1800 7.91242e+11 7.25885e+11 7.88988e+11 6.85447e+11 8.51766e+11 9.84532e+11 8.40581e+11 8.11831e+11 7.55059e+11
 2000 8.91392e+11 8.17817e+11 8.8796e+11 7.70248e+11 9.58054e+11 1.10138e+12 9.43227e+11 9.12225e+11 8.53667e+11
 2200 9.97609e+11 9.03634e+11 9.87702e+11 8.46377e+11 1.06542e+12 1.21349e+12 1.04176e+12 1.01025e+12 9.58975e+11
 2400 1.10374e+12 9.89373e+11 1.08477e+12 9.2027e+11 1.17662e+12 1.32152e+12 1.13947e+12 1.1074e+12 1.06947e+12
 2600 1.21742e+12 1.08309e+12 1.1729e+12 9.90788e+11 1.30167e+12 1.42988e+12 1.24078e+12 1.20759e+12 1.18132e+12
 2800 1.33087e+12 1.17094e+12 1.25733e+12 1.06059e+12 1.42084e+12 1.54138e+12 1.34094e+12 1.30578e+12 1.30864e+12
 3000 1.43417e+12 1.2527e+12 1.3458e+12 1.12153e+12 1.5363e+12 1.66263e+12 1.44016e+12 1.40178e+12 1.43075e+12
 3200 1.52827e+12 1.33089e+12 1.43823e+12 1.17051e+12 1.64612e+12 1.78526e+12 1.53396e+12 1.49336e+12 1.5406e+12
 3400 1.62095e+12 1.41003e+12 1.52891e+12 1.22366e+12 1.75037e+12 1.91867e+12 1.6309e+12 1.58653e+12 1.65091e+12
 3600 1.72113e+12 1.49391e+12 1.62901e+12 1.28035e+12 1.8541e+12 2.04593e+12 1.72679e+12 1.68195e+12 1.76532e+12
 3800 1.82326e+12 1.58122e+12 1.74597e+12 1.33938e+12 1.94913e+12 2.16916e+12 1.81922e+12 1.77826e+12 1.87459e+12
 4000 1.92755e+12 1.66111e+12 1.86342e+12 1.40581e+12 2.04334e+12 2.28873e+12 1.91263e+12 1.87452e+12 1.98249e+12
 4000 1.67161e+12 1.12829e+12 1.94612e+12 1.53892e+12 2.07492e+12 2.2207e+12 1.94485e+12 1.79971e+12 2.36952e+12
 8000 3.96543e+12 2.31202e+12 4.72488e+12 3.11178e+12 3.0098e+12 4.22942e+12 3.45033e+12 3.53718e+12 5.13403e+12
 12000 6.28673e+12 3.48304e+12 7.70395e+12 5.94671e+12 3.48078e+12 5.23245e+12 4.88665e+12 5.26182e+12 7.02175e+12
 16000 7.79139e+12 5.10367e+12 1.0511e+13 8.82882e+12 2.88139e+12 6.46776e+12 6.05933e+12 6.75641e+12 7.29198e+12
 20000 7.5529e+12 6.96585e+12 1.17929e+13 1.19895e+13 4.29168e+12 8.73846e+12 8.3399e+12 8.51216e+12 6.30315e+12
 24000 6.70112e+12 7.85003e+12 1.08065e+13 1.4919e+13 4.44226e+12 1.08759e+13 1.0079e+13 9.42844e+12 6.25535e+12
 28000 7.36299e+12 9.20756e+12 9.83576e+12 1.63231e+13 4.55039e+12 1.16448e+13 1.08394e+13 1.00245e+13 7.51548e+12
 32000 9.34058e+12 1.13639e+13 1.05851e+13 1.83178e+13 4.8185e+12 1.33178e+13 1.21514e+13 1.14628e+13 5.43222e+12
 36000 1.20859e+13 1.34932e+13 1.20501e+13 1.83741e+13 6.40053e+12 1.59215e+13 1.35654e+13 1.31564e+13 3.63743e+12
 40000 1.54706e+13 1.61289e+13 1.4294e+13 1.8802e+13 5.66784e+12 1.811e+13 1.41933e+13 1.46351e+13 2.36938e+12
 44000 1.80058e+13 1.91761e+13 1.65233e+13 1.75206e+13 5.47156e+12 1.91909e+13 1.4061e+13 1.55973e+13 2.97925e+12
 48000 2.01842e+13 2.21607e+13 1.71657e+13 1.89176e+13 6.25469e+12 1.81474e+13 1.44399e+13 1.65987e+13 6.63591e+12
 52000 2.04134e+13 2.5426e+13 1.42394e+13 2.2861e+13 8.69319e+12 1.91168e+13 1.68903e+13 1.81447e+13 9.10598e+12
 56000 2.08718e+13 2.75159e+13 9.91832e+12 2.68603e+13 9.84919e+12 1.90133e+13 1.85743e+13 1.89187e+13 9.91506e+12
 60000 2.10402e+13 2.61224e+13 7.2079e+12 3.03799e+13 1.17336e+13 1.80121e+13 2.00419e+13 1.92745e+13 8.77027e+12
 64000 2.19737e+13 2.6168e+13 4.93909e+12 2.9428e+13 1.30847e+13 1.7157e+13 1.98899e+13 1.90114e+13 7.67134e+12
 68000 2.34412e+13 2.63004e+13 3.77105e+12 3.06507e+13 1.54591e+13 1.8018e+13 2.13759e+13 1.99606e+13 8.01277e+12
 72000 2.57776e+13 2.64373e+13 2.38025e+12 3.02054e+13 1.65007e+13 1.99891e+13 2.22317e+13 2.06184e+13 8.23298e+12
 76000 2.56141e+13 2.909e+13 2.71627e+12 2.98806e+13 1.82064e+13 1.44215e+13 2.08362e+13 2.01578e+13 3.45811e+12
 80000 2.64474e+13 3.5233e+13 4.47247e+12 2.67737e+13 1.86044e+13 1.49473e+13 2.01085e+13 2.08855e+13 3.10066e+12
 80000 4.88567e+13 1.73996e+13 7.94384e+12 5.32967e+13 9.49422e+12 7.27008e+12 2.33537e+13 2.39055e+13 2.37753e+12
